text,label
"Phishing email saying my account is locked, looks fake.",scam_rumour
Lots of phishing messages going around today.,scam_rumour
Still getting blank screen after the update.,service_outage
How do I enable international transactions on my card?,general_feedback
Anyone else getting fake OTP requests?,scam_rumour
Lots of impersonation attempts going around today.,scam_rumour
"My transfer keeps crashing again, this is frustrating.",service_outage
Getting an error message when I try to send money.,service_outage
"What's the best way to reach support, phone or chat?",general_feedback
Mobile app is unusable — error codes everywhere.,service_outage
Be careful: the message pretends to be from support.,scam_rumour
What's the process for account opening?,general_feedback
Suspicious 'refund' calls asking for OTP.,scam_rumour
How do I enable notifications on the app?,general_feedback
Card services keeps failing; this is unacceptable.,service_outage
Just got a SMS with a spoofed number — don’t share your OTP.,scam_rumour
Just got a WhatsApp message with a phishing link — very suspicious.,scam_rumour
Scam SMS saying 'update KYC now' with a link.,scam_rumour
Mobile app is unstable — stuck on loading.,service_outage
Anyone else seeing timeouts right now?,service_outage
How do I enable notifications on the app?,general_feedback
"Can’t view transactions, page won’t load.",service_outage
Just got a WhatsApp message with a phishing link — looks fake.,scam_rumour
Be careful: they asked for personal details.,scam_rumour
"OTP isn’t arriving, can’t complete payments.",service_outage
What's the process for account opening?,general_feedback
Anyone else getting fake links?,scam_rumour
Lots of fake OTP requests going around today.,scam_rumour
Anyone else seeing connection problems since this morning?,service_outage
Be careful: the link goes to a weird domain.,scam_rumour
Is the branch open during lunch hours?,general_feedback
Mobile app keeps timing out; this is terrible.,service_outage
Any guidance on increasing daily limits would help.,general_feedback
Any guidance on card delivery would help.,general_feedback
"Random number texting OTP requests, very concerning.",scam_rumour
Transfers failing with an error code.,service_outage
Where do I see my IBAN in the mobile app?,general_feedback
Where can I find the form in online banking?,general_feedback
Is it possible to update my details without visiting a branch?,general_feedback
How do I add a beneficiary on the app?,general_feedback
Is it possible to change my PIN without visiting a branch?,general_feedback
Any guidance on increasing daily limits would help.,general_feedback
Be careful: they asked for an OTP and said it was 'urgent'.,scam_rumour
Where can I find the limit in online banking?,general_feedback
What's the process for chargeback requests?,general_feedback
Where do I submit a request for international transfers?,general_feedback
Lots of impersonation attempts going around today.,scam_rumour
Lots of phishing messages going around today.,scam_rumour
Everything is super slow right now.,service_outage
Just got a phone call with a phishing link — stay alert.,scam_rumour
Still getting crashes since this morning.,service_outage
Still getting crashes again today.,service_outage
Lots of spoofed numbers going around today.,scam_rumour
Where do I submit a request for updating KYC?,general_feedback
Be careful: they used a convincing caller ID.,scam_rumour
Be careful: the message pretends to be from support.,scam_rumour
Where can I find the document in online banking?,general_feedback
Does anyone know if increasing daily limits is possible?,general_feedback
Transfers keeps freezing; this is unacceptable.,service_outage
Is it possible to add a beneficiary without visiting a branch?,general_feedback
A caller tried to get my OTP; do not share details.,scam_rumour
Where do I submit a request for closing an account?,general_feedback
How long does it take for a new debit card to arrive?,general_feedback
Anyone else seeing timeouts again today?,service_outage
Can’t view my statement because of payment failures.,service_outage
Where do I submit a request for chargeback requests?,general_feedback
Where can I find the limit in online banking?,general_feedback
Unverified rumor about a data breach; is this real?.,scam_rumour
Any guidance on international transfers would help.,general_feedback
Can’t send a transfer because of the app crashing.,service_outage
Bill payment failed twice today.,service_outage
Anyone else seeing blank screen right now?,service_outage
Just got a SMS with a scam call — don’t share your OTP.,scam_rumour
Anyone else seeing blank screen right now?,service_outage
Can’t pay a bill because of login errors.,service_outage
Be careful: they asked for personal details.,scam_rumour
Is there a fee for card delivery?,general_feedback
Can someone explain updating KYC?,general_feedback
Can someone explain redeeming rewards?,general_feedback
Just got a DM with a OTP request — reporting it now.,scam_rumour
Still getting login errors right now.,service_outage
Anyone else seeing login errors for hours?,service_outage
How do I link my card to Apple Pay / Google Pay?,general_feedback
Card services keeps freezing; this is frustrating.,service_outage
Can someone explain closing an account?,general_feedback
App freezes on the home screen.,service_outage
Merchant terminals keep declining my card today.,service_outage
Is there a fee for international transfers?,general_feedback
Where do I download a bank letter for visa purposes?,general_feedback
Can I set up scheduled transfers from the app?,general_feedback
Anyone else seeing timeouts all day?,service_outage
Online banking is timing out constantly.,service_outage
Is it possible to change my PIN without visiting a branch?,general_feedback
Unverified story about accounts being frozen; has anyone confirmed?.,scam_rumour
Can someone explain chargeback requests?,general_feedback
How do I reset my PIN?,general_feedback
"My balance keeps crashing again, this is frustrating.",service_outage
Anyone else seeing blank screen for hours?,service_outage
Lots of scam calls going around today.,scam_rumour
How do I reset my password on the app?,general_feedback
Just got a WhatsApp message with a spoofed number — very suspicious.,scam_rumour
Where can I find the fee in online banking?,general_feedback
Can someone explain redeeming rewards?,general_feedback
"My login is stuck again, I can’t complete anything.",service_outage
Unverified thread about a leak; what’s the truth?.,scam_rumour
